Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,53.848,-59.055,-90.0,top
C2,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,73.152,-53.213,90.0,top
C3,22u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,53.848,-52.197,90.0,top
C4,22u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,69.723,-59.436,90.0,top
C5,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,59.436,-62.865,-90.0,top
C6,68p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,59.436,-45.339,90.0,top
C7,68p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,59.436,-52.959,-90.0,top
C8,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,59.436,-49.1755,-90.0,top
C9,10u,CP_Elec_5x5.4,73.914,-59.309,90.0,top
C10,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,60.452,-90.678,90.0,top
C11,1.2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,56.642,-74.549,-90.0,top
C12,1.2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,53.848,-78.359,-90.0,top
C13,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,69.977,-64.135,-90.0,top
C14,1.2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,75.692,-72.771,-90.0,top
C15,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.104,-80.899,90.0,top
C16,1.2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,72.898,-72.771,-90.0,top
C17,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,59.436,-78.359,-90.0,top
C18,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.104,-86.487,-90.0,top
C19,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,59.436,-82.169,90.0,top
C20,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.104,-68.961,-90.0,top
D1,2.7V,D_SOD-123,67.818,-42.545,90.0,top
D2,2.7V,D_SOD-123,75.692,-48.641,-90.0,top
D3,1N4148,D_SOD-123,64.262,-42.545,90.0,top
D4,1N4148,D_SOD-123,72.644,-48.641,90.0,top
D5,1N4148,D_SOD-123,66.548,-91.44,-90.0,top
D6,1N4148,D_SOD-123,63.5,-91.44,90.0,top
D7,2.7V,D_SOD-123,72.644,-81.661,-90.0,top
D8,2.7V,D_SOD-123,75.692,-81.661,-90.0,top
J1,Conn_01x14_Male,PinHeader_1x14_P2.54mm_Vertical,50.8,-67.3,0.0,bottom
J2,Conn_01x14_Male,PinHeader_1x14_P2.54mm_Vertical,78.74,-67.3,0.0,bottom
