Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,CP_Elec_4x5.4,86.924,-82.677,270.0,bottom
C2,470n,CP_Elec_4x5.4,85.654,-91.75,90.0,bottom
C3,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,82.225,-82.733,270.0,bottom
C4,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,81.209,-89.591,90.0,bottom
C5,4.7u,CP_Elec_4x5.4,73.589,-93.02,90.0,bottom
C6,4.7u,CP_Elec_4x5.4,74.478,-85.908,180.0,bottom
C7,100n,CP_Elec_4x5.4,120.57,-92.8945,270.0,bottom
C8,10u,CP_Elec_4x5.4,106.99,-94.798,180.0,bottom
C9,100n,CP_Elec_4x5.4,115.118,-81.7405,0.0,bottom
C10,10u,CP_Elec_4x5.4,103.307,-80.32,0.0,bottom
C11,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.188,-110.109,180.0,bottom
C12,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,84.455,-110.053,180.0,bottom
C13,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,108.768,-85.5505,90.0,bottom
D1,PWRLED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,97.5,-77.0,180.0,top
J3,Conn,PinHeader_2x06_P2.54mm_Vertical,127.305,-87.051,0.0,top
J4,PWR,BarrelJack_GCT_DCJ200-10-A_Horizontal,96.85,-64.0,180.0,top
J5,In,tayda-6mm35-jack-pcb-compact,115.0,-69.15,90.0,top
J6,Out,tayda-6mm35-jack-pcb-compact,80.0,-69.15,90.0,top
J8,Conn,PinHeader_2x06_P2.54mm_Vertical,67.625,-87.051,0.0,top
Q1,J201,SOT-23_Handsoldering,78.288,-80.447,90.0,bottom
Q2,3904 BEC,SOT-23_Handsoldering,81.209,-94.925,90.0,bottom
R1,2.2K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,97.846,-80.193,0.0,bottom
R2,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.496,-83.241,90.0,bottom
R4,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,82.225,-78.669,90.0,bottom
R5,200K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,90.226,-94.5,90.0,bottom
R6,3.3K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,74.351,-81.463,90.0,bottom
R7,3.3K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,78.161,-93.909,270.0,bottom
R8,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,78.161,-89.718,90.0,bottom
R10,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,115.88,-93.6785,90.0,bottom
R11,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,108.768,-89.6145,270.0,bottom
R12,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,105.72,-89.6145,90.0,bottom
R13,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,112.832,-93.782,270.0,bottom
R14,10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,105.72,-85.5505,90.0,bottom
R15,4.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,96.576,-100.132,0.0,bottom
R16,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,111.435,-98.354,0.0,bottom
R17,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,89.789,-99.131,0.0,bottom
R18,2.2K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,107.244,-98.354,0.0,bottom
R19,2.2K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,84.836,-99.131,0.0,bottom
R20,1R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,111.252,-110.109,180.0,bottom
R21,1R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,112.903,-106.299,270.0,bottom
R22,1R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.138,-110.053,180.0,bottom
R23,1R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,90.297,-106.233,270.0,bottom
RV1,A20K,V3_TRIM_R0904NB10KL-Keepout,97.5,-91.8,0.0,top
SW1,SignalSW,DPDT.LUGS,120.0,-104.8,0.0,top
SW2,PWRSW,SPDT.LUGS,75.0,-104.8,180.0,top
U1,TL072,SOIC-8_3.9x4.9mm_P1.27mm,114.61,-88.3445,0.0,bottom
U2,NE5532,SOIC-8_3.9x4.9mm_P1.27mm,108.26,-104.196,270.0,bottom
U3,NE5532,SOIC-8_3.9x4.9mm_P1.27mm,85.471,-104.14,270.0,bottom
