Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,10n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,35.56,-81.28,180.0,top
C4,10n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,39.624,-93.599,180.0,top
C7,10n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,43.5345,-93.599,0.0,top
C8,10n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,47.752,-86.868,180.0,top
C11,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,35.56,-86.868,180.0,top
C12,10u,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,30.988,-64.262,90.0,top
C13,330n,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,34.544,-64.262,90.0,top
C14,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,47.055,-63.246,180.0,top
C15,100n,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,37.592,-71.12,-90.0,top
C16,10u,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,40.894,-71.12,-90.0,top
C17,10n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,33.02,-58.674,90.0,top
C18,4.7n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,45.466,-58.674,90.0,top
C19,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,35.814,-54.737,90.0,top
D1,4001,D_SMA_Handsoldering,48.26,-77.216,0.0,top
D2,LED_Dual_Bidirectional,LED_D3.0mm,41.91,-50.8,180.0,top
J1,Conn_01x15,PinSocket_1x15_P2.54mm_Vertical,55.855,-76.17,0.0,top
J2,Conn_01x15,PinSocket_1x15_P2.54mm_Vertical,27.915,-76.17,0.0,top
Q1,MMBT3904,SOT-23,38.1,-76.708,180.0,top
R1,4.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,31.75,-84.074,0.0,top
R2,4.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.56,-92.456,0.0,top
R3,4.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47.752,-92.456,180.0,top
R4,4.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47.752,-81.28,180.0,top
R5,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,42.164,-76.708,-90.0,top
R6,220K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,31.75,-81.28,0.0,top
R8,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,31.75,-86.868,0.0,top
R9,220K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,31.75,-92.456,0.0,top
R10,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,31.75,-89.662,0.0,top
R12,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.56,-84.074,180.0,top
R13,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.56,-89.662,0.0,top
R14,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.308,-63.246,0.0,top
R15,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,46.99,-73.152,180.0,top
R20,220K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.816,-92.456,180.0,top
R22,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.816,-89.662,180.0,top
R23,220K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.816,-81.28,180.0,top
R25,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.816,-84.074,180.0,top
R26,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47.752,-89.662,180.0,top
R27,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47.752,-84.074,180.0,top
R28,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.181,-73.152,180.0,top
R29,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.816,-86.868,0.0,top
R30,330K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,48.26,-58.674,-90.0,top
R31,75K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.308,-58.674,90.0,top
R32,20K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,43.434,-63.5,90.0,top
R33,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.814,-58.674,90.0,top
R34,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,46.355,-50.8,90.0,top
R35,20K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,49.149,-50.8,-90.0,top
R36,24K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,37.846,-63.5,90.0,top
R37,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,40.64,-63.5,90.0,top
R38,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,45.466,-54.737,-90.0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,32.766,-76.708,0.0,top
U1,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,41.656,-86.868,0.0,top
U4,StompLFO,SOIC-8_3.9x4.9mm_P1.27mm,49.022,-68.199,0.0,top
U5,L78L05,SOT-89-3,32.512,-71.12,-90.0,top
U6,TL972,SOIC-8_3.9x4.9mm_P1.27mm,40.64,-56.896,90.0,top
