Comment,Designator,Footprint,LCSC
15K,"R201,R206",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C100780
560p,"C206,C212",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C107054
3.9n,C210,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C190576
4.7u,"C202,C216",CP_Elec_4x5.4,C213488
L78L05,U201,SOT-89-3,C347258
5.6K,R207,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C365194
3.9n,C204,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C415537
100n,"C214,C303",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C497032
100n,"C208,C209",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C519438
10n,C213,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C57112
10K,"R202,R203,R204,R205,R306",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C98220
Vd,TP2,TestPoint_Pad_1.5x1.5mm,
Vatt,TP1,TestPoint_Pad_1.5x1.5mm,
100K,R304,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100n,C205,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,
10u,C201,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,
100K,R305,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
GND,H103,MountingHole_3.2mm_M3_ISO14580_Pad,
10K,R208,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10u,C215,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,
100K,R301,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10p,C301,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1,H102,MountingHole_3.2mm_M3,
100K,R302,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
GND,H101,MountingHole_3.2mm_M3_ISO14580_Pad,
PT2399-Detailed,U202,SOIC-16_3.9x9.9mm_P1.27mm,
2,H104,MountingHole_3.2mm_M3,
100n,C207,CP_Elec_4x5.4,
NST65011,Q301,SOT-363_SC-70-6_Handsoldering,
Conn_01x20,J103,PinSocket_1x20_P2.54mm_Vertical,
100K,R303,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100n,C211,CP_Elec_4x5.4,
10p,C302,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
330n,C203,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,
Conn_01x20,J104,PinSocket_1x20_P2.54mm_Vertical,
TL972,U301,SOIC-8_3.9x4.9mm_P1.27mm,
