Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,10u,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,33.02,-57.785,0.0,top
C202,4.7u,CP_Elec_4x5.4,37.592,-84.582,90.0,top
C203,330n,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,31.75,-62.23,-90.0,top
C204,3.9n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,42.926,-81.153,90.0,top
C205,100n,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,39.37,-57.785,0.0,top
C206,560p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,40.894,-75.692,90.0,top
C207,100n,CP_Elec_4x5.4,32.258,-77.47,90.0,top
C208,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,30.861,-67.691,90.0,top
C209,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,30.861,-71.374,90.0,top
C210,3.9n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,33.274,-91.44,0.0,top
C211,100n,CP_Elec_4x5.4,37.465,-77.47,90.0,top
C212,560p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,41.91,-83.82,180.0,top
C213,10n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,37.338,-89.408,0.0,top
C214,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,42.545,-63.5,-90.0,top
C215,10u,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,40.005,-62.865,90.0,top
C216,4.7u,CP_Elec_4x5.4,32.258,-84.836,-90.0,top
C301,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,33.02,-95.942,0.0,top
C302,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,42.672,-100.768,90.0,top
C303,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,40.894,-97.212,90.0,top
J103,Conn_01x20,PinSocket_1x20_P2.54mm_Vertical,27.915,-82.52,0.0,top
J104,Conn_01x20,PinSocket_1x20_P2.54mm_Vertical,45.695,-82.52,0.0,top
Q301,NST65011,SOT-363_SC-70-6_Handsoldering,37.338,-94.742,0.0,top
R201,15K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,41.021,-81.153,90.0,top
R202,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,41.91,-78.486,180.0,top
R203,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,42.926,-75.692,-90.0,top
R204,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,41.656,-91.186,0.0,top
R205,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,40.894,-86.614,-90.0,top
R206,15K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,41.656,-89.408,180.0,top
R207,5.6K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,42.672,-86.614,90.0,top
R208,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,33.274,-89.408,0.0,top
R301,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,30.734,-103.562,90.0,top
R302,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,30.734,-98.99,90.0,top
R303,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,41.656,-103.562,180.0,top
R304,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.814,-104.832,0.0,top
R305,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,40.894,-100.768,90.0,top
R306,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,42.672,-97.212,90.0,top
U201,L78L05,SOT-89-3,36.195,-62.23,-90.0,top
U202,PT2399-Detailed,SOIC-16_3.9x9.9mm_P1.27mm,38.1,-69.785,-90.0,top
U301,TL972,SOIC-8_3.9x4.9mm_P1.27mm,36.068,-100.006,0.0,top
