Comment,Designator,Footprint,LCSC
22u,"C15,C17",CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,C129272
100p,"C12,C2,C4,C8",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C160903
68p,"C13,C5,C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1680
1k,"R10,R20,R30,R6",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21190
100,"R15,R25,R35",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22775
12k,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22790
15k,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22809
10,"R22,R23",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22859
220,"R18,R28,R4,R8",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22962
6.8k,R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23212
24k,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23352
100k,"R14,R24,R3,R34,R5",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25803
10k,"R13,R16,R26,R36",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804
200k,"R11,R21,R31",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25811
2.7V,"D1,D3,D5",D_SOD-123,C406712
20k,"R17,R19,R27,R29,R7",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4184
1.2n,"C1,C11,C3,C7",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C576816
TL074,"U2,U3,U4",SOIC-14_3.9x8.7mm_P1.27mm,C6963
100n,"C10,C14,C16,C18,C19,C20,C6",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C76711
1N4148,"D2,D4,D6",D_SOD-123,C81598
GND,H3,MountingHole_3.2mm_M3_ISO14580_Pad,
2,H4,MountingHole_3.2mm_M3,
1,H2,MountingHole_3.2mm_M3,
SSI2164-Split,U1,SOIC-16_3.9x9.9mm_P1.27mm,
GND,H1,MountingHole_3.2mm_M3_ISO14580_Pad,
Conn_01x18_Male,J2,PinHeader_1x18_P2.54mm_Vertical,
Conn_01x18_Male,J1,PinHeader_1x18_P2.54mm_Vertical,
