Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1.2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,54.356,-81.1295,90.0,top
C2,100p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,56.896,-89.5115,90.0,top
C3,1.2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,59.69,-83.9235,-90.0,top
C4,100p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,56.896,-94.0835,90.0,top
C5,68p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.866,-94.03,-90.0,top
C6,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,67.818,-91.821,90.0,top
C7,1.2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,65.024,-71.832,90.0,top
C8,100p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.866,-58.166,-90.0,top
C9,68p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,54.356,-56.1105,-90.0,top
C10,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,56.896,-52.0465,-90.0,top
C11,1.2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,56.896,-71.4775,-90.0,top
C12,100p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,67.818,-67.517,90.0,top
C13,68p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,56.896,-59.7935,90.0,top
C14,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-41.91,0.0,top
C15,22u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,64.008,-45.466,90.0,top
C16,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,57.658,-41.91,0.0,top
C17,22u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,58.166,-45.466,90.0,top
C18,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,67.818,-83.9235,90.0,top
C19,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,56.896,-75.5415,90.0,top
C20,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,56.896,-63.503,-90.0,top
D1,2.7V,D_SOD-123,70.612,-75.438,90.0,top
D2,1N4148,D_SOD-123,70.612,-85.598,90.0,top
D3,2.7V,D_SOD-123,67.818,-59.1585,-90.0,top
D4,1N4148,D_SOD-123,67.818,-54.0785,-90.0,top
D5,2.7V,D_SOD-123,53.848,-68.1755,-90.0,top
D6,1N4148,D_SOD-123,60.96,-70.4615,180.0,top
J1,Conn_01x18_Male,PinHeader_1x18_P2.54mm_Vertical,50.8,-72.375,0.0,bottom
J2,Conn_01x18_Male,PinHeader_1x18_P2.54mm_Vertical,73.66,-72.375,0.0,bottom
R1,15k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,60.706,-46.228,-90.0,top
R2,12k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,60.706,-42.5685,-90.0,top
R3,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,54.356,-85.4475,90.0,top
R4,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.896,-79.6055,-90.0,top
R5,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,54.356,-89.5115,-90.0,top
R6,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.896,-83.9235,90.0,top
R7,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,65.024,-83.9235,90.0,top
R8,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,62.23,-83.9235,90.0,top
R9,24k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,54.356,-94.0835,-90.0,top
R10,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,62.23,-102.616,0.0,top
R11,200k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.866,-90.3205,-90.0,top
R12,6.8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,66.802,-46.228,-90.0,top
R13,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,66.802,-42.5685,-90.0,top
R14,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.818,-95.6075,-90.0,top
R15,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.818,-87.9875,90.0,top
R16,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.866,-80.518,-90.0,top
R17,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.866,-70.2075,-90.0,top
R18,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.818,-71.8585,-90.0,top
R19,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.818,-63.4765,90.0,top
R20,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.866,-54.483,90.0,top
R21,200k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,60.198,-58.6505,0.0,top
R22,10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.818,-49.8875,90.0,top
R23,10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,54.356,-52.07,-90.0,top
R24,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.896,-56.1105,-90.0,top
R25,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,64.262,-58.6505,0.0,top
R26,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.866,-50.927,-90.0,top
R27,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,60.198,-72.7475,0.0,top
